label,content
1,"Ngày 5/5/2021 toà án tỉnh Hoà Bình sẽ xử sơ thẩm bà Cấn Thị Thêu và con trai Trịnh Bá Tư. Mong gia đình bà Thêu nhận được sự đồng hành từ cộng đồng mạng. VỤ ÁN BÀ CẤN THỊ THÊU VÀ TRINH BÁ TƯ - Ls Luân Lê - Hôm nay theo lịch tôi vào gặp bà Cấn Thị Thêu và ông Trịnh Bá Tư (con bà Thêu) trong vụ án mà họ bị truy tố tội danh “tuyên truyền chống nhà nước “ (Điều 117 BLHS). Về tinh thần và sức khoẻ họ đều tốt. Sau khi có một vài khiếu nại trực tiếp về điều kiện giam giữ vào lần gặp trước, nay đã được cải thiện tốt hơn. Về tinh thần và quan điểm, họ không khai gì suốt giai đoạn điều tra (giữ quyền im lặng), đến nay họ vẫn giữ nguyên những nhận thức của mình trước các cáo buộc (về việc dùng tài khoản mạng xã hội để thực hiện tuyên truyền chống nhà nước). Bà Thêu có nhắc lại sự kiện biết Tư tuyệt thực khoảng hai mươi ngày và bà nói, bằng giọng chùng xuống, lần đầu tiên kể từ khi bước vào đây khi nghe tin đó cô nhỏ hai giọt nước mắt mà cô coi đó như là giọt máu. Sau đó khi biết sức khoẻ của con trai cô ổn thì cô lại trở lại sự mạnh mẽ như ban đầu. Gia đình bà Thêu, một gia đình thuần nông dân mất đất khiếu kiện kéo dài hơn chục năm sau khi thu hồi đất cho dự án. Và cứ thế, họ không im lặng trước bất cứ vấn đề bất công hoặc nhức nhối nào của xã hội. Và rồi họ bị bắt, bà Thêu và hai con trai, trong hai vụ án khác nhau với cùng một tội danh. Con gái bà Thêu gửi thư cho mẹ và các luật sư đã đọc cho bà nghe trong buổi gặp sáng nay. Theo lịch xét xử, phiên toà sơ thẩm sẽ được Toà án nhân dân tỉnh Hoà Bình mở xử vào ngày 05/05/2021. Mặc dù chưa xét xử sơ thẩm, nhưng bà Thêu cho biết sẽ kháng cáo tới cùng để bảo vệ mình. Đây là vụ án thứ hai về cùng tội danh (tuyên truyền chống nhà nước) mà tôi tham gia bào chữa ở Hoà Bình, trước đó là thầy giáo (tiểu học) Đào Quang Thực, người đã mất vì bệnh khi đang thụ án ở miền Trung mà gia đình chưa được mang hài cốt về (sau 3 năm kể từ ngày mất)."
1,"VÀI CHIÊU GÂY SỐT ĐẤT Thái Hạo Giá đất tăng đột biến mà không có cơ sở từ sự phát triển thực chất của nền kinh tế sẽ gây hậu họa lâu dài và thảm khốc. Điều này tôi đã viết trong một stt cách đây mươi ngày. Nhưng nhiều người vẫn băn khoăn vì sao giá đất bỗng bị thổi lên khủng khiếp như thế. Tôi sống ở vùng sốt đất, quan sát và thấy vài độc chiêu của giới buôn bán BĐS như sau: 1. Đội quân tác chiến. Một số người nhiều tiền sẽ tập hợp lại thành một đội (gọi là cò cấp 1) với số vốn có thể lên tới nhiều trăm tỉ, thậm chí ngàn tỉ và đi càn quét. Họ đến những vùng đất đang bình yên và tung tiền mua, và sẵn sàng mua cao hơn giá thị trường, đồng tiền làm các chủ vườn lóa mắt và lập tức bán đi. Trên một tuyến đường vài chục cây số, đội quân này sẽ mua ồ ạt từ đầu cho tới cuối đường. Cả một khu vực sẽ bị khuấy động, xôn xao và náo loạn. Sau đó họ bắt đầu bán lại, bắt đầu từ cuối đường, mà là bán cho chính đồng bọn của mình với giá chênh lệch lớn. Họ sẽ quần đảo, mua đi bán lại cho chính họ trong trong một thời gian với tốc độ giao dịch và tăng giá chóng mặt. Điều này làm dân tình một lần nữa bị cuốn vào vì “làm giàu không khó”. Lúc này, dân và cò đất địa phương không thể ngồi im được nữa và bắt đầu vung tiền mua lại đất. Họ sẽ bán, tất nhiên là với giá có thể đã lên tới gấp đôi ba lần giá lúc mua. Họ bán từ cuối đường đến đầu đường, và biến mất khi đất đã được bán lại hết. Lúc này, các “nhà đầu cơ” địa phương bỗng thấy mọi thứ trở nên im ắng đáng sợ. Họ ngơ ngác ngồi ôm mớ đất bị mua với giá cắt cổ mà không biết bán cho ai. Chiêu này cũng có thể được thực hiện bởi một tay đại gia ngàn tỉ nào đó khuynh loát mà không cần đến việc “tập hợp lực lượng”. 2. Gà què ăn quẩn cối xay. Sau khi những người đầu cơ (gọi là cò cấp 2) đã ôm đất với giá đắt phi thực tế ở trên rồi, tất nhiên họ sẽ không thể ngồi im chờ chết. Chiến dịch 2 sẽ được tung ra. Họ sẽ mua và bán lại cho nhau cùng với những thông tin quy hoạch, dự án hư hư thực thực do chính họ phao ra. Họ cứ mua bán như vậy trong một thời gian, tất nhiên với tiền lời không lớn nữa. Việc này khiến dân đen dần yên tâm, và lao vào làm cò cùng đầu cơ đất (gọi là cò cấp 3). Đối tượng cò cấp 3 – cò con - này sẽ là những người cuối cùng dính chưởng. Tiền dùng để mua đất có thể là tiền vay ngân hàng, vay anh em bạn bè, vay nóng của xã hội đen. Bắt đầu từ thời điểm này những rối loạn xã hội sẽ bộc lộ, và ngày càng điêu linh. Người ôm đất thì không có tiền, người muốn mua ở thì giá quá đắt, đất đai nằm chết, sản xuất đình trệ, đòi nợ khắp nơi… 3. Buôn chính sách. Có những quan chức lớn sẽ tiến hành “làm quy hoạch” hoặc “bẻ cong quy hoạch”. Người có quyền sẽ vẽ quy hoạch và thu mua đất hoặc vẽ vào nơi ông ta đang có nhiều đất. Và việc tiếp theo chỉ là bán đất ấy đi với giá trên trời. Nếu là đại gia thì sẽ bắt tay với quan lớn để làm quy hoạch, và bước tiếp theo cũng là bán đất. Những dự án quy hoạch kiểu này thì hậu họa khôn lường, chúng ta chỉ cần hình dung vài phút là ra hết tính chất thê thảm của nó. Chiêu này thì báo chí nhà nước đã nêu nhiều. Người ta gọi là “tham nhũng chính sách”. Nếu không có một chính sách quản lý đất đai tốt mà để thả nổi tình trạng tự phát cho giới đầu cơ tự tung tự tác như vậy thì không những nền kinh tế sẽ bị làm hư hoại mà đời sống của nhân dân và an sinh xã hội cũng sẽ bị đảo lộn, điêu đứng. Dứt khoát không được xem nhẹ tình trạng sốt đất đang diễn ra trên toàn quốc như hiện nay, mà phải thấy đó là một sự báo động về sự hỗn loạn và đe dọa to lớn đối với xã hội. Hiện nay, nhiều vùng quê yên bình trên khắp cả nước đang bị quậy tưng lên bằng những cách như thế. Nhà nước phải lập tức có phương án để ngăn ngừa nếu không muốn phải chứng kiến những thảm họa sắp sửa. Nguồn FB: Thái Hạo"
1,"BÀN VỀ VỤ TẤT THÀNH CANG BỊ KHAI TRỪ KHỎI ĐẢNG: TẠI SAO VÀO LÚC NÀY? Phạm Nhật Bình Không ai ngạc nhiên khi báo chí lề đảng loan tin Tất Thành Cang bị khai trừ; nhưng có lẽ ai cũng đặt dấu hỏi “sao lại là lúc này mà không sớm hơn?” Là một trong số các nhân vật chóp bu dưới trào Lê Thanh Hải nắm bí thư thành Hồ, Tất Thành Cang đã gây nhiều sóng gió trong vụ án cướp đất Khu đô thị mới Thủ Thiêm. Nhưng câu chuyện của Tất Thành Cang trở thành củi của ông Nguyễn Phú Trọng và bị đưa vào lò tưởng trở thành chuyện quá khứ và người ta tưởng đâu nó đã cuốn theo cơn đại dịch Covid-19. Nhưng không… Mới đây, Tất Thành Cang được nhắc đến qua chuyện bị ban bí thư của ông Trọng quyết định “khai trừ ra khỏi đảng,” một hình thức kỷ luật nặng nhất về mặt đảng. Ta thử tìm hiểu xem điều này mang ý nghĩa gì? #ViệtTân​ #TấtThànhCang​ https://www.youtube.com/watch?v=pEZNaEzCRjQ"
1,"THÊM 1 ĐẠI ÚY CÔNG AN TỐ CÁO SAI PHẠM CỦA LÃNH ĐẠO TRẠI GIAM THỦ ĐỨC ĐẠI TÁ LÊ BÁ THỤY Đại úy Nguyễn Doãn Tú, làm việc tại trại giam Thủ Đức, TP HCM, cùng với Đại úy Lê Chí Thành, bị kỷ luật vì tố cáo sai phạm của lãnh đạo trại giam Thủ Đức, đặc biệt là Đại tá Lê Bá Thụy. Đại úy Lê Chí Thành trước đây cũng vì đã tố cáo sai phạm của lãnh đạo trại giam Thủ Đức, Đại tá Lê Bá Thụy, nên đã bị kỷ luật, bị tước danh hiệu công an nhân dân. Vào tuần trước, Đại úy Lê Chí Thành đã bị bắt với cáo buộc “chống người thi hành công vụ” và “lợi dụng các quyền tự do dân chủ xâm phạm quyền, lợi ích hợp pháp của nhà nước”. Nguồn: JB Lam Nguyen #ViệtTân​ #thamnhũng​ https://www.youtube.com/watch?v=Sg1zN-KyTTU"
1,"Thư giãn, CHUYỆN LẠ “QUÁI THAI” Ở XỨ TA Nhiều cặp song sinh “quái thai” (bảng số xe) được Bộ giao thông của xứ XHCN cho ra đời?. Cả thế giới đều phải thán phục, vì chưa bao giờ xảy ra ở đất nước họ. Lỡ may những đứa trẻ “song sinh này gây ra tai nạn giao thông thì không biết Công an sẽ xử lý ra sao, nếu không có mặt tại hiện trường?"
1,"ANH HÙNG TỬ, KHÍ HÙNG BẤT TỬ Ngày 30-4 là ngày bắt đầu đen tối và thảm khốc cho cả dân tộc Việt Nam. 46 năm qua, dân tộc Việt Nam không bao giờ quên những người đã hy sinh và nằm xuống cho đất nước, nhất là các cựu quân nhân Quân đội VNCH đã vị quốc vong thân, đặc biệt là những vị tướng lãnh, sĩ quan không chấp nhận đầu hàng Cộng Sản Bắc Việt đã tuẫn tiết trong những ngày trước và sau 30/4 như: Tướng Lê Văn Hưng, Nguyễn Khoa Nam, Phạm Văn Phú, Lê Nguyên Vỹ, Trần Văn Hai… TỔ QUỐC - DANH DỰ - TRÁCH NHIỆM luôn luôn là tiếng gọi thiêng liêng cao cả, đã gắn liền trong suốt cuộc đời binh nghiệp của những người tướng lãnh Việt Nam Cộng Hòa. Họ đã làm tròn nhiệm vụ với đất nước, với sự tin tưởng được nhân dân giao phó trách nhiệm. Sự hy sinh anh dũng của những người lính Việt Nam Cộng Hòa là tiếp nối tinh thần của tiền nhân, không bao giờ chịu khuất phục trước kẻ thù xâm lược và những kẻ bán nước hại dân như CSVN. Ngày nay, tinh thần đó đã cũng đã được tiếp nối và phát huy bởi những thế hệ đi sau, đặc biệt là thành phần trẻ. Chân lý đứng về phía lý tưởng Quốc gia Dân tộc. Chân lý đứng về phía Tự do Dân chủ. Dân tộc Việt Nam không bao giờ chấp nhận một chế độ phản quốc như chế độ CSVN hiện nay, cam tâm bán đứng đất đai, biển đảo mà tiền nhân đã tốn bao nhiêu xương máu tạo dựng và bảo vệ. Sự tuẫn tiết của 5 tướng lãnh Việt Nam Cộng Hòa là tấm gương sáng ngời cho tất cả thế hệ tiếp nối đời đời và mãi mãi. TƯỚNG LÊ VĂN HƯNG Chuẩn tướng Lê Văn Hưng Tư lệnh phó Quân đoàn IV, Vùng IV Chiến thuật của Quân lực Việt Nam Cộng hoà, một trong năm tướng lĩnh đã tự sát trong sự kiện 30 tháng 4, 1975. TƯỚNG NGUYỄN KHOA NAM Ngày 30 tháng 4 năm 1975, Dương Văn Minh đầu hàng quân Cộng Sản Bắc Việt. Sau khi để cho các sĩ quan và binh sĩ thuộc quyền giải tán theo lệnh của của Dương Văn Minh, khoảng nửa đêm 30 tháng 4 rạng ngày 1 tháng 5 năm 1975, Thiếu Tướng Nguyễn Khoa Nam dùng súng tự sát không chịu đầu hàng Cộng Sản Bắc Việt. Bác sĩ Trung Tá Hoàng Như Tùng và một số chiến hữu đã tẩm liệm và đưa di hài Thiếu Tướng ra an táng tại Nghĩa Trang Quân Đội Cần Thơ ngày 1 tháng 5 năm 1975. TƯỚNG PHẠM VĂN PHÚ Ngày 29 tháng 4 năm 1975, Thiếu Tướng Phạm Văn Phú tự sát bằng cách uống một liều thuốc cực mạnh, được gia đình đưa vào bệnh viện Grall và chết vào trưa ngày 30 tháng 4, sau khi Tổng thống Dương Văn Minh đầu hàng. CHUẨN TƯỚNG LÊ NGUYÊN VỸ Ngày 30 tháng 4 năm 1975, sau khi nghe nhật lệnh của Tổng Thống Dương Văn Minh kêu gọi chiến sĩ Quân Lực Việt Nam Cộng Hòa các cấp buông súng. Tướng Vỹ ra lệnh cho binh sĩ treo cờ trắng trước cổng căn cứ và cho thuộc cấp giải tán. Sau đó Lê Nguyên Vỹ dùng khẩu Beretta 6.35 bắn vào đầu tự sát ở Bộ Tư Lệnh tại Lai Khê (Bến Cát, Bình Dương). CHUẨN TƯỚNG TRẦN VĂN HAI Trước sự kiện 30 tháng 4 năm 1975 khoảng hơn một tuần, đích thân Tổng Thống Thiệu cho máy bay riêng xuống rước Chuẩn tướng Trần Văn Hai di tản nhưng ông từ chối. Chiều ngày 30 tháng 4năm 1975, sau khi cho binh sĩ rời quân ngũ theo lệnh của Tổng thống Dương Văn Minh, Trần Văn Hai đã dùng thuốc độc tự vẫn trong phòng làm việc tại căn cứ Đồng Tâm. Thi thể ông được mẹ đem về mai táng tại Gò Vấp. Nhìn lại cuộc chiến giữa Quốc Gia và Cộng Sản. Chưa bao giờ thấy có một tướng lãnh nào của chế độ độc tài CSVN dám hy sinh thân mình để bảo vệ tổ quốc. Không những vậy, mà còn luồn cúi trước kẻ thù xâm lược Trung Quốc chỉ vì muốn bảo vệ quyền lực để cai trị nhân dân Việt Nam. ĐÓ LÀ SỰ KHÁC BIỆT CỦA TƯỚNG VNCH VÀ CỘNG SẢN! Lê Ánh"
1,"Vụ án logo xe vua: có đưa hối lộ, có môi giới hối lộ nhưng không có nhận hối lộ! PHÁP QUYỀN, ""LOGO XE VUA"", QUÁCH DUY VÀ LÊ CHÍ THÀNH Trân Văn Cơ quan Cảnh sát Điều tra của Bộ Công an Việt Nam vừa tạt nước vào mặt những người còn tin rằng chống tham nhũng ở Việt Nam… “không có vùng cấm”, “không có ngoại lệ”. Sau 18 tháng điều tra lại vụ án “đưa hối lộ, môi giới hối lộ”, thường được gọi là vụ án “logo xe vua”, theo yêu cầu của Tòa án Cấp cao tại TP.HCM, Cơ quan Cảnh sát Điều tra của Bộ Công an Việt Nam thấy rằng… không đủ căn cứ để xử lý 78/80 cảnh sát giao thông và thanh tra giao thông về tội “nhận hối lộ”. #ViệtTân​ #thamnhũng​ https://www.youtube.com/watch?v=4nQsdJtzSac"
1,"MỘT BÀI HÁT ÍT NGƯỜI BIẾT CỦA NHẠC SĨ NGUYỄN ÁNH 9 Ns Tuấn Khanh Ngày 14/4/2021 vừa rồi, là kỷ niệm 5 năm ngày mất của nhạc sĩ Nguyễn Ánh 9, một trong những tác giả lừng danh của âm nhạc Việt Nam, nằm trong danh sách số ít những nhạc sĩ miền Nam Việt Nam ở lại sau 1975, vẫn tỏa sáng với tài năng của mình. Các sáng tác của nhạc sĩ Nguyễn Ánh 9 tuy không rầm rộ về số lượng nhưng rất biểu trưng cho phong cách sáng tác của ông, không thể lẫn với ai. Vài năm trước khi mất, nhạc sĩ Nguyễn Ánh 9 tạo nên một làn sóng dư luận, khi lên tiếng thẳng thắn nhận xét về việc khác biệt âm nhạc cũng như cách trình bày của hai miền nam-bắc, dù được gọi là một quốc gia thống nhất. Ý kiến của nhạc sĩ Nguyễn Ánh 9 lúc đó mở ra một cánh cửa mà lâu nay nhiều người nghĩ đến, nhưng không ai dám nói: Văn hóa âm nhạc miền Nam qua thời kỳ 2 nền Cộng hòa, đòi hỏi sự thể hiện bằng thấu cảm và tâm hồn-rất khác, chứ không phải bằng kỹ thuật và bắt chước lại, và đó là thứ khó đạt được nhất. Từ đó, ông gọi thẳng tên nhiều ca sĩ đương thời gọi là thành danh sau năm 1975, thời đại Việt Nam xã hội chủ nghĩa, vẫn không có khả năng trình diễn thuyết phục. Thậm chí gọi là ca sĩ hạng B, so với thời trước của ông. Có thể quan điểm này của nhạc sĩ Nguyễn Ánh 9 tạo nên sự khó chịu không ít với thị trường âm nhạc giai đoạn mới, nhưng ông cũng nhận được vô số những lời tán thưởng và xác nhận đồng điệu với suy nghĩ trực diện này. Sau năm 1975, rất nhiều bài hát của nhạc sĩ Nguyễn Ánh 9 được giới thiệu trên sân khấu, báo chí và truyền hình. Nhưng cũng có bài hát không bao giờ được nhắc đến, xem như là một điều tối kỵ. Đó là bài hát ""Mẹ Việt nam ơi, chúng con vẫn còn đây"", phổ thơ của Hoàng Phong Linh. Đây là một trong những bài hát thường được sử dụng cho thể loại hợp ca, các phong trào sinh hoạt... cũng như được các ca sĩ lừng danh như Thái Thanh, Khánh Ly trình bày với giá trị biểu đạt như một dạng tâm ca. Bài hát được nhạc sĩ Nguyễn Ánh 9 cho ra mắt công chúng vào 20 tháng 1 năm 1975, trong bối cảnh lúc đó người dân miền Nam đang loay hoay với tình hình cuộc chiến đang có những chiều hướng xấu đi cho chính quyền miền Nam. Vào thời điểm đó hầu như các hoạt động âm nhạc đều đình trệ, nhưng nhạc sĩ Nguyễn Ánh 9 vẫn chọn cách tự mình in và phát hành bài nhạc này đến với công chúng. Bài ""Mẹ Việt nam ơi, chúng con vẫn còn đây"" được phổ từ thơ của Hoàng Phong Linh. Tác giả này là ai? Tên thật của nhà thơ Hoàng Phong Linh là Võ Đại Tôn, vốn là sĩ quan cấp tá trong Quân Lực Việt Nam Cộng Hòa, đã từng được biệt phái ngoại ngạch sang nhiều công vụ dân chính tại miền Nam trước 1975 (Phụ Tá Tổng Trưởng Bộ Thông Tin, - Giám Đốc Công Tác Bộ Chiêu Hồi). Sau năm 1975, ông vượt biển đến định cư tại Úc Châu. Năm 1981, ông bí mật trở lại Việt Nam để tham gia Kháng Chiến Phục Quốc (qua đường rừng Thái-Lào) nhưng rồi bị nhà cầm quyền mới bắt giữ vào tháng 10, 1981, tại biên giới Lào-Việt. Trong cuộc họp báo với giới phóng viên quốc tế về trường hợp của mình, do Hà Nội tổ chức, mà trước đó tưởng chừng như đã thuyết phục được ông công khai nhận tội và xin khoan hồng, nhưng Võ Đại Tôn đã bất ngờ cầm micro tuyên bố giữ vững lập trường ""không đầu hàng Cộng Sản"" trong cuộc họp báo quốc tế ngày 13.7.1982 tại Hà Nội. Cuộc họp báo bị hủy bỏ ngay lập tức và sau đó, ông Võ Đại Tôn đã bị nhà cầm quyền mới biệt giam hơn 10 năm tại trại tù Thanh Liệt (B-14), ngoại thành Hà Nội. Nhờ sự vận động của Quốc Tế, ông được trả tự do trở lại Úc Châu ngày 11.12.1991. Câu chuyện nhạc sĩ Nguyễn Ánh 9 và bài hát này, là một món nợ rất lâu rồi, chưa có dịp trả được. Bởi đã có một số bạn yêu âm nhạc nhắn tin và thắc mắc về những chi tiết này. Hy vọng những thông tin không có gì mới này, sẽ giúp làm đầy thêm về cuộc đời, sự nghiệp và con người nhạc sĩ Nguyễn Ánh 9. Nhân tiện, cũng xin nói thêm là nhạc sĩ Nguyễn Ánh 9, có họ hàng với nhạc sĩ Hoàng Thanh Tâm, tác giả lừng danh với những ca khúc Tháng sáu trời mưa, Lời Tình Buồn... hiện đang sinh sống tại Úc Đại Lợi. Nhạc sĩ Hoàng Thanh Tâm gọi nhạc sĩ Nguyễn Ánh 9, là cậu. Để nghe lại bài hát này, mời chọn link dưới đây. https://youtu.be/-MiEGQ4Qs-k Nguồn: FB Khanh Nguyen"
1,"AI BẢO KÊ CHO TƯỚNG ""THAM NHŨNG"" XÂY BIỆT THỰ “KHỦNG” Biển đảo là chuyện ở xa tận đâu đâu, đâu có dính dáng gì đến các biệt thự “hoành tráng” của ta. Nhà cao, cửa rộng như thế này, thì làm gì có chuyện nghĩ đến đánh Trung Quốc. Tiền đồ của Đất nước, tương lai của dân tộc đâu có dính dáng gì đến cơ đồ của ta đã dày công xây dựng “ăn chia” để có được như ngày nay. Với đồng lương của Tướng quân đội là 16,64 triệu/tháng, nếu ông Tướng quân đội Lê Công không tham nhũng thì làm gì có khả năng có thể xây căn biệt thư khủng khiếp như thế? Điểm đáng chú ý là thế lực của ông tướng này, không ai dám đụng chạm. Vì trước đó, ông TT Phúc đã chỉ thị xử lý vụ này, nhưng không thấy giải quyết. Điều đó chứng minh cho thấy thế lực đứng sau lưng của ông tướng này rất ghê gớm. Phải là có quyền lực hơn cả thủ tướng? Điều này làm cho nhiều người nghi ngờ có dính dáng gì đến phe cánh của ông TBT Nguyễn Phú Trọng bảo kê chăng? Trong nhiệm kỳ này không biết ông Tướng Lê Công có nằm trong tầm ngắm của ông Nguyễn Phú Trọng không? Lê Ánh ================ NHÀ TƯỚNG KHÁC NHÀ DÂN! Một công trình xây dựng hoành tráng và lạ lùng tại Hà Nội kéo dài mấy năm nay là nhà của tướng Lê Công, nguyên tổng giám đốc ngân hàng cổ phần quân đội (MB) tại số 15, phố Sơn Tây, phường Điện Biên, quận Ba Đình. Cái đặc biệt của căn nhà này là nó gồm 5 tầng nổi và đến 4 tầng hầm, tổng diện tích sàn xây dựng điều chỉnh lần hai lên tới 2.223,1m2 (trong đó riêng tổng diện tích sàn tầng hầm lên đến 1.070,8m2, chiếm gần một nửa diện tích công trình) do UBND quận Ba Đình cấp phép xây dựng. Đào sâu như vậy nên các hộ dân cận kề đều kinh hãi, vì âm thanh chát chúa, đất chấn động cả ngày đêm, chịu hết xiết họ làm đơn kiến nghị đến chính quyền thì Bộ xây dựng cho rằng cấp giấy phép có vấn đề. Kiến nghị này đưa lên chính phủ và dù ông Phúc khi còn là thủ tướng đã chỉ đạo UBND TP Hà Nội xử lý nhưng... chẳng xi nhê, chứng tỏ tướng công rất ngon! Nghe nói hiện nay Thanh tra chính phủ lại vào cuộc nhưng chưa biết ra răng! . Công nhận lương cấp tướng tại VN nhiều thiệt (ông này chỉ thiếu tướng nha) mới xây một công trình hoành tráng như vậy! Còn 4 tầng hầm? Có lẽ tướng công làm nơi ẩn nấp khi nổ ra chiến tranh hột nhơn Mỹ Trung chăng? Fb Nguyễn Đình Bổn"
1,"ĐẠI SỨ VIỆT NAM HOAN NGHÊNH LẬP TRƯỜNG VÀ ỦNG HỘ CỦA MỸ TRÊN BIỂN ĐÔNG - VOA - Đại diện của Bộ Ngoại giao Việt Nam tại Mỹ, Đại sứ Hà Kim Ngọc, vừa bày tỏ “đánh giá cao” lập trường của Hoa Kỳ trong việc duy trì các nguyên tắc cơ bản để đảm bảo trật tự hàng hải dựa trên luật lệ và ủng hộ các lợi ích hợp pháp của Việt Nam ở Biển Đông. Theo thông tin từ Đại sứ quán Việt Nam tại Hoa Kỳ thì phát biểu của đại diện Việt Nam được đưa ra trong cuộc họp trực tuyến với Dân biểu Joaquin Castro, đồng Chủ tịch Nhóm ASEAN của Quốc hội Hoa Kỳ, Chủ tịch Tiểu ban Phát triển quốc tế, các tổ chức quốc tế và tác động xã hội của kinh doanh toàn cầu thuộc Ủy ban Đối ngoại Hạ viện Hoa Kỳ, vào chiều ngày 14 tháng Tư. Giữa bối cảnh đang xảy ra các diễn tiến căng thẳng do sự kiện Trung Quốc điều hơn 200 tàu dân quân đến khu vực Đá Ba Đầu, thuộc quần đảo Trường Sa mà Việt Nam cũng có tuyên bố chủ quyền, so với Philippines, quốc gia đồng minh của Mỹ, Việt Nam cho đến nay ngoài phát biểu phản đối động thái của Trung Quốc vẫn chưa có những hành động mạnh tay nào như triệu tập đại sứ, gửi kháng thư... như Philippines. Tuy nhiên, có thể thấy Hà Nội đang nỗ lực tranh thủ sự ủng hộ của quốc tế, đặc biệt là Hoa Kỳ, trong việc bảo vệ chủ quyền và quyền lợi của mình trong khu vực này. Tại cuộc họp, hai bên cũng đề cập đến “những diễn biến phức tạp” ở khu vực Đá Ba Đầu. Theo đó, Dân biểu Castro khẳng định Hoa Kỳ “ủng hộ mạnh mẽ” việc tôn trọng chủ quyền của các nước khu vực, trong đó có Việt Nam, Đại sứ quán Việt Nam cho biết thêm. Ngoài ra, Đại sứ Hà Kim Ngọc cũng đề nghị chính phủ và Quốc hội Hoa Kỳ “quan tâm, dành nhiều nguồn lực hơn nữa để triển khai hiệu quả quan hệ Đối tác Mekong - Hoa Kỳ” giữa bối cảnh dòng Mekong đang trở thành một “mặt trận” đối đầu lớn tiếp theo giữa Trung Quốc và Hoa Kỳ khi các hoạt động khai thác của Bắc Kinh đang giết chết nguồn lợi của các quốc gia thuộc hạ lưu sông Mekong. Đối với các vấn đề liên quan đến Đại dịch COVID-19, ông Hà Kim Ngọc ngỏ lời cám ơn Hoa Kỳ đã hỗ trợ Việt Nam và ASEAN trong công tác ứng phó và hồi phục kinh tế. Ông cũng đề nghị phía Mỹ tạo điều kiện để Việt Nam tiếp cận nguồn vaccine COVID-19 của Mỹ nhanh hơn, đồng thời cấp phép và chuyển giao công nghệ để Việt Nam có thể hợp tác trong việc sản xuất vaccine. #ViệtTân #BiểnĐông “Con ở Miền Nam ra thăm lăng Bác”, Chàng trai Sài Gòn gom góp tiền ra Hà Nội để được 1 lần quỳ gối trước vị Cha Già Dân Tộc <3"
